Title,Rating,Popularity,Budget,Gross Worldwide,URL,Runtime_minutes,ROI,Director_main,Writer_main,Star_main,Genre_main
Dincolo de trecut,7.1,2601.0,75000000.0,180557550.0,https://www.imdb.com/title/tt0453467/,126,2.407434,Tony Scott,Bill Marsilii,Denzel Washington,Time Travel
Misiune: Imposibilã II,6.1,2024.0,125000000.0,546388108.0,https://www.imdb.com/title/tt0120755/,123,4.371104864,John Woo,Bruce Geller,Tom Cruise,Action Epic
Magnolia,8.0,271.0,37000000.0,48454011.0,https://www.imdb.com/title/tt0175880/,188,1.3095678648648648,Paul Thomas Anderson,Paul Thomas Anderson,Pat Healy,Epic
Adevaratul curaj,7.6,996.0,38000000.0,252278285.0,https://www.imdb.com/title/tt1403865/,110,6.638902236842105,Ethan Coen,Joel Coen,Jeff Bridges,Period Drama
Superman revine,6.1,3437.0,270000000.0,391081192.0,https://www.imdb.com/title/tt0348150/,154,1.4484488592592593,Bryan Singer,Michael Dougherty,Brandon Routh,One-Person Army Action
Amintire totală,7.5,1023.0,65000000.0,261317921.0,https://www.imdb.com/title/tt0100802/,113,4.020275707692308,Paul Verhoeven,Philip K. Dick,Arnold Schwarzenegger,Cyberpunk
Interviu cu un vampir: Cronicile vampirilor,7.5,356.0,60000000.0,223664608.0,https://www.imdb.com/title/tt0110148/,123,3.7277434666666664,Neil Jordan,Anne Rice,Brad Pitt,Dark Fantasy
Jackie Brown,7.5,1146.0,12000000.0,39694884.0,https://www.imdb.com/title/tt0119396/,154,3.307907,Quentin Tarantino,Quentin Tarantino,Pam Grier,Caper
Greu de pensionat,7.0,2368.0,58000000.0,199006387.0,https://www.imdb.com/title/tt1245526/,111,3.431144603448276,Robert Schwentke,Warren Ellis,Bruce Willis,Dark Comedy
Inteligenta artificiala,7.2,1735.0,100000000.0,235926635.0,https://www.imdb.com/title/tt0212720/,146,2.35926635,Steven Spielberg,Brian Aldiss,Haley Joel Osment,Artificial Intelligence
Taken 2: Teroare in Istanbul,6.2,4600.0,45000000.0,376152455.0,https://www.imdb.com/title/tt1397280/,92,8.358943444444444,Olivier Megaton,Luc Besson,Liam Neeson,Action
Drumul Dreptății,7.6,2056.0,55000000.0,70016220.0,https://www.imdb.com/title/tt0381849/,122,1.2730221818181817,James Mangold,Halsted Welles,Russell Crowe,Period Drama
Aventuri sub clar de luna,7.8,2031.0,16000000.0,68298842.0,https://www.imdb.com/title/tt1748122/,94,4.268677625,Wes Anderson,Wes Anderson,Bruce Willis,Coming-of-Age
Curierul,6.8,3539.0,21000000.0,43928932.0,https://www.imdb.com/title/tt0293662/,92,2.091853904761905,Louis Leterrier,Luc Besson,Jason Statham,Car Action
Viața secretă a lui Walter Mitty,7.3,774.0,90000000.0,188133322.0,https://www.imdb.com/title/tt0359950/,114,2.0903702444444443,Ben Stiller,Steve Conrad,Ben Stiller,Globetrotting Adventure
Apocalypto,7.8,862.0,40000000.0,120654337.0,https://www.imdb.com/title/tt0472043/,139,3.016358425,Mel Gibson,Mel Gibson,Rudy Youngblood,Action Epic
Mulholand Drive: Calea misterelor,7.9,457.0,15000000.0,20391137.0,https://www.imdb.com/title/tt0166924/,147,1.3594091333333334,David Lynch,David Lynch,Naomi Watts,Psychological Drama
Constantin,7.0,867.0,100000000.0,230912116.0,https://www.imdb.com/title/tt0360486/,121,2.30912116,Francis Lawrence,Jamie Delano,Keanu Reeves,Monster Horror
